Sat May 31 12:36:27 2025    mdetector_profile.prof

         50447367 function calls (50277928 primitive calls) in 55949.437 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4176    0.002    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/copy.py:242(_keep_alive)
        1    0.000    0.000    0.003    0.003 /home/drugge/Unsupervised-Moving-Point-Detection/m_detector_python/scripts/run_mdetector_and_save.py:28(generate_tuning_experiments_v2)
      116    0.001    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/dumper.py:29(__init__)
      464    0.001    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/nuscenes/utils/map_mask.py:17(__init__)
        2    0.000    0.000    0.003    0.002 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:54(construct_document)
       56    0.001    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/popen_fork.py:56(terminate)
     3364    0.002    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:426(check_empty_mapping)
   116/60    0.000    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:410(construct_yaml_map)
      338    0.001    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:545(fetch_value)
       58    0.000    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:215(construct_mapping)
     5555    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
      253    0.001    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:634(formatMessage)
    36192    0.003    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/copy.py:182(_deepcopy_atomic)
      116    0.000    0.000    0.003    0.000 /home/drugge/Unsupervised-Moving-Point-Detection/m_detector_python/scripts/run_mdetector_and_save.py:32(add_experiment)
       57    0.003    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/util.py:186(__init__)
     8680    0.003    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:279(stale_possible_simple_keys)
     1510    0.002    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/codecs.py:309(__init__)
     1446    0.001    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:135(get_token)
      116    0.002    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/group.py:34(__init__)
      253    0.002    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:628(usesTime)
       58    0.000    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:132(construct_mapping)
      696    0.003    0.000    0.003    0.000 {built-in method numpy.asarray}
       56    0.000    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/popen_fork.py:46(_send_signal)
      696    0.002    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/base.py:41(find_item_type)
     2384    0.001    0.000    0.003    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/reader.py:114(get_mark)
       56    0.002    0.000    0.002    0.000 {built-in method posix.kill}
      352    0.002    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:153(__init__)
     1172    0.002    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
        6    0.000    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/composer.py:99(compose_sequence_node)
      116    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/serializer.py:27(open)
     1740    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:157(represent_bool)
      122    0.002    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/contextlib.py:86(__init__)
     3776    0.002    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/events.py:22(__init__)
      253    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:432(format)
      126    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/_weakrefset.py:27(__exit__)
     3894    0.002    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/events.py:5(__init__)
        2    0.000    0.000    0.002    0.001 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:952(__init__)
      116    0.002    0.000    0.002    0.000 {method 'item' of 'numpy.ndarray' objects}
      738    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:67(construct_object)
     4414    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      352    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:222(__eq__)
     3776    0.002    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/nodes.py:36(__init__)
     1494    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:1416(scan_line_break)
      348    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/copy.py:200(_deepcopy_list)
      364    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:106(release)
      116    0.000    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:226(expect_document_root)
       56    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/util.py:433(_flush_std_streams)
        8    0.000    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:381(parse_block_sequence_entry)
      253    0.002    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:429(_format)
       58    0.000    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:422(parse_block_mapping_first_key)
     8317    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
      254    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1689(isEnabledFor)
      253    0.001    0.000    0.002    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:160(<lambda>)
      632    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:295(save_possible_simple_key)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1002(_find_and_load)
      232    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:178(expect_document_start)
        4    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:880(start)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      116    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:38(__init__)
      116    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/serializer.py:36(close)
     2088    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      349    0.001    0.000    0.001    0.000 {built-in method now}
     7586    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       67    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:227(_releaseLock)
      116    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      506    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:896(acquire)
      812    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/base.py:336(__init__)
     7694    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:264(next_possible_simple_key)
      118    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
  591/116    0.001    0.000    0.001    0.000 /home/drugge/Unsupervised-Moving-Point-Detection/m_detector_python/scripts/run_mdetector_and_save.py:300(deep_update_dict)
     5640    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      938    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
     1848    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/reader.py:94(prefix)
     7392    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      116    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/os.py:804(fsencode)
        1    0.000    0.000    0.001    0.001 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1138(__exit__)
      116    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:175(expect_first_document_start)
      253    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/genericpath.py:121(_splitext)
        4    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1265(close)
       34    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:657(fetch_flow_scalar)
      253    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:421(usesTime)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:659(_load_unlocked)
      814    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      998    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     2384    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/error.py:6(__init__)
      126    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/_weakrefset.py:21(__enter__)
       34    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:1134(scan_flow_scalar)
      263    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:1358(current_thread)
     1276    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/base.py:303(id)
        4    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:563(wait)
      124    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:760(get_lock)
     1419    0.001    0.000    0.001    0.000 {built-in method time.time}
      750    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:125(peek_token)
      126    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/_weakrefset.py:53(_commit_removals)
      552    0.001    0.000    0.001    0.000 {built-in method posix.getpid}
        3    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/queues.py:369(put)
      348    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:743(<genexpr>)
      253    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/posixpath.py:52(normcase)
        2    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:333(_screen_shape_linux)
      115    0.001    0.000    0.001    0.000 {built-in method posix.pipe}
      823    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       20    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:654(fetch_double)
      230    0.001    0.000    0.001    0.000 {built-in method posix.close}
     3016    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
        6    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/weakref.py:106(remove)
      253    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:1093(name)
      506    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:791(filter)
      253    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:119(getLevelName)
      117    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/posixpath.py:100(split)
      253    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/process.py:37(current_process)
      126    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/_weakrefset.py:17(__init__)
     1754    0.001    0.000    0.001    0.000 {built-in method builtins.divmod}
     1510    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/codecs.py:260(__init__)
        7    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/synchronize.py:50(__init__)
       34    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:1185(scan_flow_scalar_non_spaces)
      365    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/process.py:189(name)
      938    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
       62    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/_weakrefset.py:86(add)
      348    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:368(expect_block_sequence)
      696    0.001    0.000    0.001    0.000 {method 'lstrip' of 'bytes' objects}
      614    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:173(construct_scalar)
        3    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/context.py:110(SimpleQueue)
     1160    0.001    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/filters.py:170(rq_tuple)
        3    0.000    0.000    0.001    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/queues.py:339(__init__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:844(exec_module)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:916(get_code)
        6    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/context.py:65(Lock)
       56    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/util.py:461(close_fds)
      506    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:903(release)
  418/116    0.000    0.000    0.000    0.000 /home/drugge/Unsupervised-Moving-Point-Detection/m_detector_python/scripts/run_mdetector_and_save.py:39(deep_merge)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        3    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/connection.py:181(send_bytes)
      121    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:256(__enter__)
       10    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:476(parse_flow_sequence_entry)
      366    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:402(construct_yaml_str)
      413    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      116    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:160(expect_stream_start)
        6    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/synchronize.py:161(__init__)
      348    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:422(check_empty_sequence)
      116    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/nuscenes/utils/color_map.py:4(get_colormap)
      253    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/pool.py:342(_setup_queues)
      253    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:358(getMessage)
      176    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
        2    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:663(__new__)
      988    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:325(unwind_indent)
      696    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/base.py:94(is_float16_dtype)
        3    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/connection.py:390(_send_bytes)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
      244    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      352    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:108(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      118    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:268(_acquire_restore)
      118    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:271(_is_owned)
      232    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:370(_term_move_up)
        3    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/reduction.py:48(dumps)
      586    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:731(check_plain)
        2    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/loader.py:33(__init__)
        2    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:139(parse_implicit_document_start)
      121    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:259(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
       14    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:651(fetch_single)
      132    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:270(construct_yaml_float)
        1    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:90(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      580    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/filters.py:96(_normalize_external)
      352    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:112(__format__)
      253    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/_monitor.py:30(__init__)
      816    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/tokens.py:3(__init__)
        1    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:116(create_mp_lock)
        4    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:802(__init__)
        2    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:376(parse_block_sequence_first_entry)
      112    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/process.py:94(<genexpr>)
      620    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/tokens.py:98(__init__)
        1    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/context.py:70(RLock)
        4    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:471(parse_flow_sequence_first_entry)
      116    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/serializer.py:15(__init__)
      200    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/reader.py:146(update)
       56    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/process.py:224(exitcode)
      116    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:797(write_stream_end)
        8    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:899(scan_anchor)
        2    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/reader.py:59(__init__)
        7    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/joblib/externals/loky/backend/__init__.py:7(_make_name)
      762    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:114(get_event)
        1    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/synchronize.py:186(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
       86    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:237(construct_yaml_int)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
      522    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/reader.py:122(determine_encoding)
      352    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:167(colour)
        6    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      116    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/nuscenes/nuscenes.py:606(__init__)
        4    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1286(fp_write)
      116    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/codecs.py:186(__init__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
        7    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/tempfile.py:149(__next__)
      338    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:721(check_value)
        4    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1417(setLevel)
        4    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1372(_clear_cache)
        6    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:601(fetch_alias)
    64/58    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:180(flatten_mapping)
      116    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:430(check_empty_document)
      472    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      231    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      116    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:18(__init__)
      614    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:117(construct_scalar)
      118    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:265(_release_save)
       75    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/util.py:48(debug)
      364    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      118    0.000    0.000    0.000    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/events.py:46(__init__)
